ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y
1,178,9446.762609,586.4678261
1,179,7142.444988,585.596577
1,180,8518.507479,582.8846154
1,181,8997.293185,582.8129952
1,182,9046.672859,583.0783522
1,183,9098.501002,586.248497
1,184,9523.147778,588.6622222
1,185,5580.431873,579.4278884
1,186,6949.153279,585.6467213
1,187,8950.228571,581.1278912
1,188,8667.028866,591.828866
1,189,9251.795953,590.4527825
1,190,5367.775994,586.1304955
1,191,5620.630717,587.2266212
1,192,8551.6899,584.1699858
1,193,5653.233861,595.4841657
1,194,9482.79257,596.7182663
1,195,9308.646951,593.56442
1,196,7088.810433,593.9160305
1,197,4250.458042,598.4825175
1,198,9582.451158,601.3963862
1,199,7048.801855,595.7369309
1,200,5322.609091,593.9766234
1,201,8703.17757,607.0539979
1,202,8786.838787,602.867518
1,203,9190.339321,600.4431138
1,204,6973.676056,610.5618153
1,205,9134.918692,602.1994971
1,206,5278.218391,606.5047893
1,207,7019.861472,606.5021645
1,208,9421.293691,607.2559826
1,209,7120.196078,608.7978884
1,210,4703.858533,613.4438623
1,211,9217.258633,611.2973925
1,212,8989.939469,616.5116086
1,213,9047.0026,617.6013865
1,214,9536.44854,619.1877608
1,215,5389.645335,623.2089437
1,216,5778.77972,611.1975524
1,217,9349.532805,611.7808219
1,218,9382.040472,619.8634064
1,219,7305.994604,626.676259
1,220,8953.239175,623.3010309
1,221,9105.956438,618.5798645
1,222,5610.585062,623.3018672
1,223,9502.988318,619.75
1,224,9259.277649,622.5707657
1,225,5680.839817,628.5148741
1,226,6943.605128,624.1940171
1,227,7273.798749,629.4765381
1,228,8583.245404,622.9928058
1,229,9469.624204,623.2144374
1,230,5824.338045,629.4699647
1,231,8887.047838,622.8592456
1,232,8526.99906,625.8825188
1,233,8729.327963,631.5132336
1,234,5564.491577,635
1,235,8645.117031,628.2169363
1,236,5294.084892,631.9482014
1,237,8801.559824,629.9912184
1,238,7004.289204,636.0441292
1,239,9304.783202,633.3309404
1,240,7339.858252,637.8466019
1,241,6919.406863,637.0261438
1,242,5264.788509,634.2359413
1,243,9149.356272,639.4731183
1,244,8503.608856,640.499385
1,245,9199.581161,646.9657064
1,246,8614.498308,645.1539763
1,247,9074.699639,640.1025271
1,248,7180.359281,641.9101796
1,249,8673.466495,635.2302406
1,250,5630.699541,643.3562691
1,251,8702.175991,643.8927739
1,252,9437.12766,640.6731915
1,253,7143.835651,651.3957016
1,254,9015.050676,648.7415541
1,255,9352.359399,650.9766917
1,256,5359.324468,646.5987842
1,257,6955.569805,651.612013
1,258,7380.706452,655.2204301
1,259,5536.278336,653.7317073
1,260,7265.569736,653.1330902
1,261,8414.051087,660.3380435
1,262,8748.043344,656.6501548
1,263,9112.968534,656.0729087
1,264,5590.604224,653.0752984
1,265,5730.05719,659.5906863
1,266,8929.683502,649.0028058
1,267,9266.120127,657.9339698
1,268,7319.84658,656.805915
1,269,8976.269328,657.7097592
1,270,5228.356557,659.5245902
1,271,5834.354872,659.6738462
1,272,7109.584644,661.315922
1,273,9468.568824,661.8732908
1,274,9512.784464,659.4294311
1,275,7350.602423,667.3744493
1,276,9411.709696,661.1521984
1,277,5653.329749,661.8100358
1,278,7046.275023,668.3895401
1,279,5698.974124,667.7253756
1,280,9053.896462,669.4098361
1,281,7230.420812,661.401944
1,282,8824.961404,667.6807018
1,283,5144.566698,677.0179754
1,284,9298.319385,669.6643894
1,285,6924.775982,673.3233256
1,286,8474.792869,671.533107
1,287,8716.619868,668.1324503
1,288,8914.12615,682.2325887
1,289,9572.209945,672.9815838
